"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-ASC-SecurityContacts";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-ASC-SecurityContacts.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-AUM-CheckUpdates";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-AUM-CheckUpdates.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Budget";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Budget.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Custom-Route-Table";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Custom-Route-Table.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-DDoSProtection";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-DDoSProtection.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-AA";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-AA.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ACI";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ACI.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ACR";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ACR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-AnalysisService";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-AnalysisService.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ApiForFHIR";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ApiForFHIR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-APIMgmt";"1.2.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-APIMgmt.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ApplicationGateway";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ApplicationGateway.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-AVDScalingPlans";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-AVDScalingPlans.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Bastion";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Bastion.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CDNEndpoints";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CDNEndpoints.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CognitiveServices";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CognitiveServices.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-CosmosDB";"1.2.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-CosmosDB.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Databricks";"1.3.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Databricks.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DataExplorerCluster";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DataExplorerCluster.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DataFactory";"1.2.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DataFactory.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-DLAnalytics";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-DLAnalytics.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridSub";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridSub.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridSystemTopic";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridSystemTopic.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-EventGridTopic";"1.2.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-EventGridTopic.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-ExpressRoute";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-ExpressRoute.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Firewall";"1.2.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Firewall.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-FrontDoor";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-FrontDoor.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Diagnostics-Function";"1.1.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Diagnostics-Function.html"
