"Subscription";"SubscriptionId";"SubscriptionMGpath";"Provider";"State"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ClassicCompute";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ClassicInfrastructureMigrate";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ClassicNetwork";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ClassicStorage";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ClassicSubscription";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CleanRoom";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CloudHealth";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CloudShell";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CloudTest";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CodeSigning";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CognitiveServices";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Commerce";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Communication";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Community";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.CompositeSolutions";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Compute";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ComputeSchedule";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ConfidentialLedger";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Confluent";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ConnectedCache";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ConnectedCredentials";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.connectedopenstack";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ConnectedVehicle";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ConnectedVMwarevSphere";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Consumption";"Registered"
